Indicator,Disaggregations,Number of disaggregations
#1-1-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#1-2-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#2-1-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#2-1-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#2-2-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, AGE",4
#2-2-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, AGE",4
#2-a-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#2-a-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#3-1-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX",4
#3-1-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#3-2-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, AGE",4
#3-2-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, AGE",4
#3-3-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#3-3-3,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#3-6-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#3-7-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, AGE, SEX",5
#3-7-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, AGE, SEX",5
#3-b-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION",5
#4-1-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, EDUCATION_LEV, AGE",5
#4-2-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, EDUCATION_LEV, AGE",5
#4-5-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, EDUCATION_LEV",4
#4-a-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, EDUCATION_LEV",4
#4-c-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, EDUCATION_LEV",4
#5-5-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX",4
