Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Time period details,Value
2015,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,under 1 year old,,Percent,2019,0.683
2016,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,under 1 year old,,Percent,2019,0.696
2017,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,under 1 year old,,Percent,2019,0.767
2018,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,under 1 year old,,Percent,2019,0.766
2019,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,under 1 year old,,Percent,2019,0.683
2015,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,under 5 years old,,Percent,2019,0.683
2016,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,under 5 years old,,Percent,2019,0.7040000000000001
2017,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,under 5 years old,,Percent,2019,0.774
2018,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,under 5 years old,,Percent,2019,0.768
2019,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,under 5 years old,,Percent,2019,0.787
2015,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,under 5 years old,Rural,Percent,2019,0.578
2016,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,under 5 years old,Rural,Percent,2019,0.605
2017,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,under 5 years old,Rural,Percent,2019,0.697
2018,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,under 5 years old,Rural,Percent,2019,0.682
2019,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,under 5 years old,Rural,Percent,2019,0.707
2015,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,under 5 years old,Urban,Percent,2019,0.87
2016,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,under 5 years old,Urban,Percent,2019,0.872
2017,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,under 5 years old,Urban,Percent,2019,0.907
2018,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,under 5 years old,Urban,Percent,2019,0.914
2019,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,under 5 years old,Urban,Percent,2019,0.927
2015,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,Female,under 5 years old,,Percent,2019,0.698
2016,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,Female,under 5 years old,,Percent,2019,0.6920000000000001
2017,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,Female,under 5 years old,,Percent,2019,0.757
2018,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,Female,under 5 years old,,Percent,2019,0.7559999999999999
2019,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,Female,under 5 years old,,Percent,2019,0.7709999999999999
2015,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,Male,under 5 years old,,Percent,2019,0.698
2016,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,Male,under 5 years old,,Percent,2019,0.715
2017,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,Male,under 5 years old,,Percent,2019,0.7909999999999999
2018,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,Male,under 5 years old,,Percent,2019,0.78
2019,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,Male,under 5 years old,,Percent,2019,0.8029999999999999
