Year,SERIES,Reference area,Education level,UNIT_MEASURE,Time period details,Value
2015,Proportion of children and young people in Grade 2 of primary education achieving proficiency in reading (language).,,"Some primary education, grades 2 or 3",Percent,2021,28.9
2016,Proportion of children and young people in Grade 2 of primary education achieving proficiency in reading (language).,,"Some primary education, grades 2 or 3",Percent,2021,28.9
2017,Proportion of children and young people in Grade 2 of primary education achieving proficiency in reading (language).,,"Some primary education, grades 2 or 3",Percent,2021,28.9
2018,Proportion of children and young people in Grade 2 of primary education achieving proficiency in reading (language).,,"Some primary education, grades 2 or 3",Percent,2021,28.9
2019,Proportion of children and young people in Grade 2 of primary education achieving proficiency in reading (language).,,"Some primary education, grades 2 or 3",Percent,2021,47.7
2020,Proportion of children and young people in Grade 2 of primary education achieving proficiency in reading (language).,,"Some primary education, grades 2 or 3",Percent,2021,47.7
2021,Proportion of children and young people in Grade 2 of primary education achieving proficiency in reading (language).,,"Some primary education, grades 2 or 3",Percent,2021,47.7
2015,Proportion of children in Grade 2 or 3 of primary education achieving at least a minimum proficiency level in mathematics.,,"Some primary education, grades 2 or 3",Percent,2021,62.3
2016,Proportion of children in Grade 2 or 3 of primary education achieving at least a minimum proficiency level in mathematics.,,"Some primary education, grades 2 or 3",Percent,2021,62.3
2017,Proportion of children in Grade 2 or 3 of primary education achieving at least a minimum proficiency level in mathematics.,,"Some primary education, grades 2 or 3",Percent,2021,62.3
2018,Proportion of children in Grade 2 or 3 of primary education achieving at least a minimum proficiency level in mathematics.,,"Some primary education, grades 2 or 3",Percent,2021,62.3
2019,Proportion of children in Grade 2 or 3 of primary education achieving at least a minimum proficiency level in mathematics.,,"Some primary education, grades 2 or 3",Percent,2021,79.1
2020,Proportion of children in Grade 2 or 3 of primary education achieving at least a minimum proficiency level in mathematics.,,"Some primary education, grades 2 or 3",Percent,2021,79.1
2021,Proportion of children in Grade 2 or 3 of primary education achieving at least a minimum proficiency level in mathematics.,,"Some primary education, grades 2 or 3",Percent,2021,79.1
