Year,Observation status,Unit multiplier,SERIES,Reference area,Education level,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,"Proportion of schools with access to electricity, by education level [4.a.1]",,Primary education,Percent,2021,32.4
2016,Normal value,Units,"Proportion of schools with access to electricity, by education level [4.a.1]",,Primary education,Percent,2021,34.0
2017,Normal value,Units,"Proportion of schools with access to electricity, by education level [4.a.1]",,Primary education,Percent,2021,36.9
2018,Normal value,Units,"Proportion of schools with access to electricity, by education level [4.a.1]",,Primary education,Percent,2021,41.3
2019,Normal value,Units,"Proportion of schools with access to electricity, by education level [4.a.1]",,Primary education,Percent,2021,44.1
2020,Normal value,Units,"Proportion of schools with access to electricity, by education level [4.a.1]",,Primary education,Percent,2021,45.7
2021,Normal value,Units,"Proportion of schools with access to electricity, by education level [4.a.1]",,Primary education,Percent,2021,48.7
2015,Normal value,Units,"Proportion of schools with access to electricity, by education level [4.a.1]",,Lower secondary education,Percent,2021,62.3
2016,Normal value,Units,"Proportion of schools with access to electricity, by education level [4.a.1]",,Lower secondary education,Percent,2021,65.9
2017,Normal value,Units,"Proportion of schools with access to electricity, by education level [4.a.1]",,Lower secondary education,Percent,2021,67.7
2018,Normal value,Units,"Proportion of schools with access to electricity, by education level [4.a.1]",,Lower secondary education,Percent,2021,72.5
2019,Normal value,Units,"Proportion of schools with access to electricity, by education level [4.a.1]",,Lower secondary education,Percent,2021,76.1
2020,Normal value,Units,"Proportion of schools with access to electricity, by education level [4.a.1]",,Lower secondary education,Percent,2021,79.7
2021,Normal value,Units,"Proportion of schools with access to electricity, by education level [4.a.1]",,Lower secondary education,Percent,2021,81.6
2015,Normal value,Units,"Proportion of schools with access to electricity, by education level [4.a.1]",,Upper secondary education,Percent,2021,90.7
2016,Normal value,Units,"Proportion of schools with access to electricity, by education level [4.a.1]",,Upper secondary education,Percent,2021,92.6
2017,Normal value,Units,"Proportion of schools with access to electricity, by education level [4.a.1]",,Upper secondary education,Percent,2021,92.7
2018,Normal value,Units,"Proportion of schools with access to electricity, by education level [4.a.1]",,Upper secondary education,Percent,2021,93.5
2019,Normal value,Units,"Proportion of schools with access to electricity, by education level [4.a.1]",,Upper secondary education,Percent,2021,95.3
2020,Normal value,Units,"Proportion of schools with access to electricity, by education level [4.a.1]",,Upper secondary education,Percent,2021,94.9
2021,Normal value,Units,"Proportion of schools with access to electricity, by education level [4.a.1]",,Upper secondary education,Percent,2021,96.4
2015,Normal value,Units,"Proportion of schools with access to basic drinking water, by education level [4.a.1]",,Primary education,Percent,2021,70.2
2016,Normal value,Units,"Proportion of schools with access to basic drinking water, by education level [4.a.1]",,Primary education,Percent,2021,71.7
2017,Normal value,Units,"Proportion of schools with access to basic drinking water, by education level [4.a.1]",,Primary education,Percent,2021,75.4
2018,Normal value,Units,"Proportion of schools with access to basic drinking water, by education level [4.a.1]",,Primary education,Percent,2021,77.7
2019,Normal value,Units,"Proportion of schools with access to basic drinking water, by education level [4.a.1]",,Primary education,Percent,2021,78.3
2020,Normal value,Units,"Proportion of schools with access to basic drinking water, by education level [4.a.1]",,Primary education,Percent,2021,79.5
2021,Normal value,Units,"Proportion of schools with access to basic drinking water, by education level [4.a.1]",,Primary education,Percent,2021,80.80000000000001
2015,Normal value,Units,"Proportion of schools with access to basic drinking water, by education level [4.a.1]",,Lower secondary education,Percent,2021,84.3
2016,Normal value,Units,"Proportion of schools with access to basic drinking water, by education level [4.a.1]",,Lower secondary education,Percent,2021,87.3
2017,Normal value,Units,"Proportion of schools with access to basic drinking water, by education level [4.a.1]",,Lower secondary education,Percent,2021,89.2
2018,Normal value,Units,"Proportion of schools with access to basic drinking water, by education level [4.a.1]",,Lower secondary education,Percent,2021,90.5
2019,Normal value,Units,"Proportion of schools with access to basic drinking water, by education level [4.a.1]",,Lower secondary education,Percent,2021,92.1
2020,Normal value,Units,"Proportion of schools with access to basic drinking water, by education level [4.a.1]",,Lower secondary education,Percent,2021,94.2
2021,Normal value,Units,"Proportion of schools with access to basic drinking water, by education level [4.a.1]",,Lower secondary education,Percent,2021,94.3
2015,Normal value,Units,"Proportion of schools with access to basic drinking water, by education level [4.a.1]",,Upper secondary education,Percent,2021,96.3
2016,Normal value,Units,"Proportion of schools with access to basic drinking water, by education level [4.a.1]",,Upper secondary education,Percent,2021,96.5
2017,Normal value,Units,"Proportion of schools with access to basic drinking water, by education level [4.a.1]",,Upper secondary education,Percent,2021,97.5
2018,Normal value,Units,"Proportion of schools with access to basic drinking water, by education level [4.a.1]",,Upper secondary education,Percent,2021,97.1
2019,Normal value,Units,"Proportion of schools with access to basic drinking water, by education level [4.a.1]",,Upper secondary education,Percent,2021,98.4
2020,Normal value,Units,"Proportion of schools with access to basic drinking water, by education level [4.a.1]",,Upper secondary education,Percent,2021,98.6
2021,Normal value,Units,"Proportion of schools with access to basic drinking water, by education level [4.a.1]",,Upper secondary education,Percent,2021,98.3
2015,Normal value,Units,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Primary education,Percent,2021,9.2
2016,Normal value,Units,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Primary education,Percent,2021,9.4
2017,Normal value,Units,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Primary education,Percent,2021,12.3
2018,Normal value,Units,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Primary education,Percent,2021,12.8
2019,Normal value,Units,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Primary education,Percent,2021,12.9
2020,Normal value,Units,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Primary education,Percent,2021,13.8
2021,Normal value,Units,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Primary education,Percent,2021,28.4
2015,Normal value,Units,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Lower secondary education,Percent,2021,31.3
2016,Normal value,Units,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Lower secondary education,Percent,2021,29.1
2017,Normal value,Units,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Lower secondary education,Percent,2021,29.0
2018,Normal value,Units,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Lower secondary education,Percent,2021,31.7
2019,Normal value,Units,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Lower secondary education,Percent,2021,35.7
2020,Normal value,Units,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Lower secondary education,Percent,2021,40.400000000000006
2021,Normal value,Units,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Lower secondary education,Percent,2021,55.1
2015,Normal value,Units,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Upper secondary education,Percent,2021,57.1
2016,Normal value,Units,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Upper secondary education,Percent,2021,53.1
2017,Normal value,Units,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Upper secondary education,Percent,2021,51.6
2018,Normal value,Units,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Upper secondary education,Percent,2021,50.5
2019,Normal value,Units,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Upper secondary education,Percent,2021,55.3
2020,Normal value,Units,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Upper secondary education,Percent,2021,62.3
2021,Normal value,Units,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",,Upper secondary education,Percent,2021,68.89999999999999
2015,Normal value,Units,"Proportion of schools with access to single-sex basic sanitation, by education level [4.a.1]",,Primary education,Percent,2021,77.4
2016,Normal value,Units,"Proportion of schools with access to single-sex basic sanitation, by education level [4.a.1]",,Primary education,Percent,2021,76.2
2017,Normal value,Units,"Proportion of schools with access to single-sex basic sanitation, by education level [4.a.1]",,Primary education,Percent,2021,79.7
2018,Normal value,Units,"Proportion of schools with access to single-sex basic sanitation, by education level [4.a.1]",,Primary education,Percent,2021,80.5
2019,Normal value,Units,"Proportion of schools with access to single-sex basic sanitation, by education level [4.a.1]",,Primary education,Percent,2021,81.0
2020,Normal value,Units,"Proportion of schools with access to single-sex basic sanitation, by education level [4.a.1]",,Primary education,Percent,2021,80.9
2021,Normal value,Units,"Proportion of schools with access to single-sex basic sanitation, by education level [4.a.1]",,Primary education,Percent,2021,78.60000000000001
2015,Normal value,Units,"Proportion of schools with access to single-sex basic sanitation, by education level [4.a.1]",,Lower secondary education,Percent,2021,82.3
2016,Normal value,Units,"Proportion of schools with access to single-sex basic sanitation, by education level [4.a.1]",,Lower secondary education,Percent,2021,82.6
2017,Normal value,Units,"Proportion of schools with access to single-sex basic sanitation, by education level [4.a.1]",,Lower secondary education,Percent,2021,86.1
2018,Normal value,Units,"Proportion of schools with access to single-sex basic sanitation, by education level [4.a.1]",,Lower secondary education,Percent,2021,86.4
2019,Normal value,Units,"Proportion of schools with access to single-sex basic sanitation, by education level [4.a.1]",,Lower secondary education,Percent,2021,89.2
2020,Normal value,Units,"Proportion of schools with access to single-sex basic sanitation, by education level [4.a.1]",,Lower secondary education,Percent,2021,92.1
2021,Normal value,Units,"Proportion of schools with access to single-sex basic sanitation, by education level [4.a.1]",,Lower secondary education,Percent,2021,88.7
2015,Normal value,Units,"Proportion of schools with access to single-sex basic sanitation, by education level [4.a.1]",,Upper secondary education,Percent,2021,95.0
2016,Normal value,Units,"Proportion of schools with access to single-sex basic sanitation, by education level [4.a.1]",,Upper secondary education,Percent,2021,92.3
2017,Normal value,Units,"Proportion of schools with access to single-sex basic sanitation, by education level [4.a.1]",,Upper secondary education,Percent,2021,96.4
2018,Normal value,Units,"Proportion of schools with access to single-sex basic sanitation, by education level [4.a.1]",,Upper secondary education,Percent,2021,95.3
2019,Normal value,Units,"Proportion of schools with access to single-sex basic sanitation, by education level [4.a.1]",,Upper secondary education,Percent,2021,96.5
2020,Normal value,Units,"Proportion of schools with access to single-sex basic sanitation, by education level [4.a.1]",,Upper secondary education,Percent,2021,95.8
2021,Normal value,Units,"Proportion of schools with access to single-sex basic sanitation, by education level [4.a.1]",,Upper secondary education,Percent,2021,94.9
