Year,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",,Number,2020,4.743
2016,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",,Number,2020,4.785
2017,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",,Number,2020,5.489
2018,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",,Number,2020,5.437
2019,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",,Number,2020,5.407
2020,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",,Number,2020,5.385
2015,"Number of commercial bank branches per 100,000 adults [8.10.1]",,Number,2020,5.449
2016,"Number of commercial bank branches per 100,000 adults [8.10.1]",,Number,2020,5.621
2017,"Number of commercial bank branches per 100,000 adults [8.10.1]",,Number,2020,5.264
2018,"Number of commercial bank branches per 100,000 adults [8.10.1]",,Number,2020,5.884
2019,"Number of commercial bank branches per 100,000 adults [8.10.1]",,Number,2020,6.265
2020,"Number of commercial bank branches per 100,000 adults [8.10.1]",,Number,2020,6.595
