Year,SERIES,Reference area,Sex,Age,UNIT_MEASURE,Time period details,Value
2015,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,Female,20 to 24 years old,Percent,2019,8.5
2016,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,Female,20 to 24 years old,Percent,2019,7.9
2017,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,Female,20 to 24 years old,Percent,2019,8.4
2018,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,Female,20 to 24 years old,Percent,2019,7.8
2019,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,Female,20 to 24 years old,Percent,2019,8.799999999999999
2015,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,Female,20 to 24 years old,Percent,2019,31.0
2016,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,Female,20 to 24 years old,Percent,2019,31.5
2017,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,Female,20 to 24 years old,Percent,2019,28.8
2018,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,Female,20 to 24 years old,Percent,2019,25.5
2019,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,Female,20 to 24 years old,Percent,2019,30.5
