Year,SERIES,Reference area,Sex,UNIT_MEASURE,Time period details,Value
2017,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]",,,Percent,2021,95.4
2018,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]",,,Percent,2021,92.26
2019,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]",,,Percent,2021,93.53
2021,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]",,,Percent,2021,92.6
2017,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]",,Female,Percent,2021,97.7
2018,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]",,Female,Percent,2021,96.08
2019,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]",,Female,Percent,2021,96.59
2021,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]",,Female,Percent,2021,94.58
2017,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]",,Male,Percent,2021,93.3
2018,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]",,Male,Percent,2021,89.71
2019,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]",,Male,Percent,2021,91.42
2021,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]",,Male,Percent,2021,91.26
