Year,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,2021,18.86
2016,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,2021,18.82
2017,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,2021,18.49
2018,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,2021,18.13
2019,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,2021,18.0
2020,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,2021,17.65
2021,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,2021,18.12
2015,Manufacturing value added per capita [9.2.1],,Franc CFA FCFA,2021,122.7
2016,Manufacturing value added per capita [9.2.1],,Franc CFA FCFA,2021,126.1
2017,Manufacturing value added per capita [9.2.1],,Franc CFA FCFA,2021,128.6
2018,Manufacturing value added per capita [9.2.1],,Franc CFA FCFA,2021,129.8
2019,Manufacturing value added per capita [9.2.1],,Franc CFA FCFA,2021,130.7
2020,Manufacturing value added per capita [9.2.1],,Franc CFA FCFA,2021,126.7
2021,Manufacturing value added per capita [9.2.1],,Franc CFA FCFA,2021,133.6
