Year,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,TIME_DETAIL,Value
2015,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Langue,,ISCED11A_0_G23,PT,2021,28.9
2016,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Langue,,ISCED11A_0_G23,PT,2021,28.9
2017,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Langue,,ISCED11A_0_G23,PT,2021,28.9
2018,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Langue,,ISCED11A_0_G23,PT,2021,28.9
2019,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Langue,,ISCED11A_0_G23,PT,2021,47.7
2020,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Langue,,ISCED11A_0_G23,PT,2021,47.7
2021,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Langue,,ISCED11A_0_G23,PT,2021,47.7
2015,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Maths,,ISCED11A_0_G23,PT,2021,62.3
2016,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Maths,,ISCED11A_0_G23,PT,2021,62.3
2017,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Maths,,ISCED11A_0_G23,PT,2021,62.3
2018,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Maths,,ISCED11A_0_G23,PT,2021,62.3
2019,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Maths,,ISCED11A_0_G23,PT,2021,79.1
2020,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Maths,,ISCED11A_0_G23,PT,2021,79.1
2021,Proportion d’enfants et de jeunes en 2ème année du cycle élémentaire en Maths,,ISCED11A_0_G23,PT,2021,79.1
