Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,SE_TRA_GRDL,,ISCED11_02,PT,2021,77.5
2016,A,0,SE_TRA_GRDL,,ISCED11_02,PT,2021,93.8
2017,A,0,SE_TRA_GRDL,,ISCED11_02,PT,2021,94.1
2018,A,0,SE_TRA_GRDL,,ISCED11_02,PT,2021,94.1
2019,A,0,SE_TRA_GRDL,,ISCED11_02,PT,2021,93.9
2020,A,0,SE_TRA_GRDL,,ISCED11_02,PT,2021,94.7
2021,A,0,SE_TRA_GRDL,,ISCED11_02,PT,2021,98.9
2015,A,0,SE_TRA_GRDL,,ISCED11_1,PT,2021,95.8
2016,A,0,SE_TRA_GRDL,,ISCED11_1,PT,2021,95.8
2017,A,0,SE_TRA_GRDL,,ISCED11_1,PT,2021,96.0
2018,A,0,SE_TRA_GRDL,,ISCED11_1,PT,2021,95.8
2019,A,0,SE_TRA_GRDL,,ISCED11_1,PT,2021,99.5
2020,A,0,SE_TRA_GRDL,,ISCED11_1,PT,2021,99.5
2021,A,0,SE_TRA_GRDL,,ISCED11_1,PT,2021,99.96
2015,A,0,SE_TRA_GRDL,,ISCED11_2,PT,2021,100.0
2016,A,0,SE_TRA_GRDL,,ISCED11_2,PT,2021,100.0
2017,A,0,SE_TRA_GRDL,,ISCED11_2,PT,2021,100.0
2018,A,0,SE_TRA_GRDL,,ISCED11_2,PT,2021,100.0
2019,A,0,SE_TRA_GRDL,,ISCED11_2,PT,2021,100.0
2020,A,0,SE_TRA_GRDL,,ISCED11_2,PT,2021,100.0
2021,A,0,SE_TRA_GRDL,,ISCED11_2,PT,2021,100.0
2015,A,0,SE_TRA_GRDL,,ISCED11_3,PT,2021,100.0
2016,A,0,SE_TRA_GRDL,,ISCED11_3,PT,2021,100.0
2017,A,0,SE_TRA_GRDL,,ISCED11_3,PT,2021,100.0
2018,A,0,SE_TRA_GRDL,,ISCED11_3,PT,2021,100.0
2019,A,0,SE_TRA_GRDL,,ISCED11_3,PT,2021,100.0
2020,A,0,SE_TRA_GRDL,,ISCED11_3,PT,2021,100.0
2021,A,0,SE_TRA_GRDL,,ISCED11_3,PT,2021,100.0
