Year,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,IT_MOB_2GNTWK,,PT,2020,92.0
2016,IT_MOB_2GNTWK,,PT,2020,97.4
2017,IT_MOB_2GNTWK,,PT,2020,97.7
2018,IT_MOB_2GNTWK,,PT,2020,97.9
2020,IT_MOB_2GNTWK,,PT,2020,98.2
2015,IT_MOB_3GNTWK,,PT,2020,40.0
2016,IT_MOB_3GNTWK,,PT,2020,50.0
2017,IT_MOB_3GNTWK,,PT,2020,66.29
2018,IT_MOB_3GNTWK,,PT,2020,92.2
2020,IT_MOB_3GNTWK,,PT,2020,92.1
2015,IT_MOB_4GNTWK,,PT,2020,0.0
2016,IT_MOB_4GNTWK,,PT,2020,8.6
2017,IT_MOB_4GNTWK,,PT,2020,36.5
2018,IT_MOB_4GNTWK,,PT,2020,62.0
2020,IT_MOB_4GNTWK,,PT,2020,66.8
