Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,TIME_DETAIL,Value
2015,SG_REG_BRTH,,,Y0,,PT,2019,0.683
2016,SG_REG_BRTH,,,Y0,,PT,2019,0.696
2017,SG_REG_BRTH,,,Y0,,PT,2019,0.767
2018,SG_REG_BRTH,,,Y0,,PT,2019,0.766
2019,SG_REG_BRTH,,,Y0,,PT,2019,0.683
2015,SG_REG_BRTH,,,Y0T4,,PT,2019,0.683
2016,SG_REG_BRTH,,,Y0T4,,PT,2019,0.7040000000000001
2017,SG_REG_BRTH,,,Y0T4,,PT,2019,0.774
2018,SG_REG_BRTH,,,Y0T4,,PT,2019,0.768
2019,SG_REG_BRTH,,,Y0T4,,PT,2019,0.787
2015,SG_REG_BRTH,,,Y0T4,R,PT,2019,0.578
2016,SG_REG_BRTH,,,Y0T4,R,PT,2019,0.605
2017,SG_REG_BRTH,,,Y0T4,R,PT,2019,0.697
2018,SG_REG_BRTH,,,Y0T4,R,PT,2019,0.682
2019,SG_REG_BRTH,,,Y0T4,R,PT,2019,0.707
2015,SG_REG_BRTH,,,Y0T4,U,PT,2019,0.87
2016,SG_REG_BRTH,,,Y0T4,U,PT,2019,0.872
2017,SG_REG_BRTH,,,Y0T4,U,PT,2019,0.907
2018,SG_REG_BRTH,,,Y0T4,U,PT,2019,0.914
2019,SG_REG_BRTH,,,Y0T4,U,PT,2019,0.927
2015,SG_REG_BRTH,,F,Y0T4,,PT,2019,0.698
2016,SG_REG_BRTH,,F,Y0T4,,PT,2019,0.6920000000000001
2017,SG_REG_BRTH,,F,Y0T4,,PT,2019,0.757
2018,SG_REG_BRTH,,F,Y0T4,,PT,2019,0.7559999999999999
2019,SG_REG_BRTH,,F,Y0T4,,PT,2019,0.7709999999999999
2015,SG_REG_BRTH,,M,Y0T4,,PT,2019,0.698
2016,SG_REG_BRTH,,M,Y0T4,,PT,2019,0.715
2017,SG_REG_BRTH,,M,Y0T4,,PT,2019,0.7909999999999999
2018,SG_REG_BRTH,,M,Y0T4,,PT,2019,0.78
2019,SG_REG_BRTH,,M,Y0T4,,PT,2019,0.8029999999999999
