Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,AGE,EDUCATION_LEV,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,SE_TOT_CPLR,,,ISCED11A_1,PT,2021,59.3
2016,A,0,SE_TOT_CPLR,,,ISCED11A_1,PT,2021,59.9
2017,A,0,SE_TOT_CPLR,,,ISCED11A_1,PT,2021,62.0
2018,A,0,SE_TOT_CPLR,,,ISCED11A_1,PT,2021,59.8
2019,A,0,SE_TOT_CPLR,,,ISCED11A_1,PT,2021,62.3
2020,A,0,SE_TOT_CPLR,,,ISCED11A_1,PT,2021,62.1
2021,A,0,SE_TOT_CPLR,,,ISCED11A_1,PT,2021,65.0
2015,A,0,SE_TOT_CPLR,,,ISCED11A_3,PT,2021,25.1
2016,A,0,SE_TOT_CPLR,,,ISCED11A_3,PT,2021,25.1
2017,A,0,SE_TOT_CPLR,,,ISCED11A_3,PT,2021,26.4
2018,A,0,SE_TOT_CPLR,,,ISCED11A_3,PT,2021,27.0
2019,A,0,SE_TOT_CPLR,,,ISCED11A_3,PT,2021,26.5
2020,A,0,SE_TOT_CPLR,,,ISCED11A_3,PT,2021,27.4
2021,A,0,SE_TOT_CPLR,,,ISCED11A_3,PT,2021,28.21
2015,A,0,SE_TOT_CPLR,,Y15T17,ISCED11A_2,PT,2021,38.8
2016,A,0,SE_TOT_CPLR,,Y15T17,ISCED11A_2,PT,2021,36.7
2017,A,0,SE_TOT_CPLR,,Y15T17,ISCED11A_2,PT,2021,36.5
2018,A,0,SE_TOT_CPLR,,Y15T17,ISCED11A_2,PT,2021,36.2
2019,A,0,SE_TOT_CPLR,,Y15T17,ISCED11A_2,PT,2021,36.6
2020,A,0,SE_TOT_CPLR,,Y15T17,ISCED11A_2,PT,2021,36.6
2021,A,0,SE_TOT_CPLR,,Y15T17,ISCED11A_2,PT,2021,41.8
