Year,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,TIME_DETAIL,Value
2015,Taux d’accroissement des effectifs de la FPT,,ISCED11_45,PT,2021,7.0
2016,Taux d’accroissement des effectifs de la FPT,,ISCED11_45,PT,2021,9.0
2017,Taux d’accroissement des effectifs de la FPT,,ISCED11_45,PT,2021,12.5
2018,Taux d’accroissement des effectifs de la FPT,,ISCED11_45,PT,2021,21.0
2019,Taux d’accroissement des effectifs de la FPT,,ISCED11_45,PT,2021,1.49
2020,Taux d’accroissement des effectifs de la FPT,,ISCED11_45,PT,2021,6.9
2021,Taux d’accroissement des effectifs de la FPT,,ISCED11_45,PT,2021,7.7
2015,Taux brut de scolarisation dans l’enseignement supérieur,,AGG_5T8,PT,2021,6.76
2016,Taux brut de scolarisation dans l’enseignement supérieur,,AGG_5T8,PT,2021,6.88
2017,Taux brut de scolarisation dans l’enseignement supérieur,,AGG_5T8,PT,2021,7.27
2018,Taux brut de scolarisation dans l’enseignement supérieur,,AGG_5T8,PT,2021,8.15
2019,Taux brut de scolarisation dans l’enseignement supérieur,,AGG_5T8,PT,2021,8.22
2020,Taux brut de scolarisation dans l’enseignement supérieur,,AGG_5T8,PT,2021,13.78
2021,Taux brut de scolarisation dans l’enseignement supérieur,,AGG_5T8,PT,2021,14.75
