Year,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,TIME_DETAIL,Value
2015,_L_SN_040301_1,,ISCED11_45,PT,2021,7.0
2016,_L_SN_040301_1,,ISCED11_45,PT,2021,9.0
2017,_L_SN_040301_1,,ISCED11_45,PT,2021,12.5
2018,_L_SN_040301_1,,ISCED11_45,PT,2021,21.0
2019,_L_SN_040301_1,,ISCED11_45,PT,2021,1.49
2020,_L_SN_040301_1,,ISCED11_45,PT,2021,6.9
2021,_L_SN_040301_1,,ISCED11_45,PT,2021,7.7
2015,_L_SN_040301_2,,AGG_5T8,PT,2021,6.76
2016,_L_SN_040301_2,,AGG_5T8,PT,2021,6.88
2017,_L_SN_040301_2,,AGG_5T8,PT,2021,7.27
2018,_L_SN_040301_2,,AGG_5T8,PT,2021,8.15
2019,_L_SN_040301_2,,AGG_5T8,PT,2021,8.22
2020,_L_SN_040301_2,,AGG_5T8,PT,2021,13.78
2021,_L_SN_040301_2,,AGG_5T8,PT,2021,14.75
