Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,TIME_DETAIL,Value
2019,_L_SN_050202_1,,F,Y15T17,,PT,2019,2.9
2017,_L_SN_050202_1,,F,Y15T49,,PT,2019,8.4
2018,_L_SN_050202_1,,F,Y15T49,,PT,2019,6.5
2019,_L_SN_050202_1,,F,Y15T49,,PT,2019,3.4
2017,_L_SN_050202_1,,F,Y15T49,R,PT,2019,7.6
2018,_L_SN_050202_1,,F,Y15T49,R,PT,2019,7.8
2019,_L_SN_050202_1,,F,Y15T49,R,PT,2019,3.2
2017,_L_SN_050202_1,,F,Y15T49,U,PT,2019,9.3
2018,_L_SN_050202_1,,F,Y15T49,U,PT,2019,5.2
2019,_L_SN_050202_1,,F,Y15T49,U,PT,2019,3.6
