Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,Value
2016,A,0,SG_GEN_LOCG,,,PT,2020,42.7
2017,A,0,SG_GEN_LOCG,,,PT,2020,41.81
2018,A,0,SG_GEN_LOCG,,,PT,2020,41.8
2019,A,0,SG_GEN_LOCG,,,PT,2020,41.8
2020,A,0,SG_GEN_LOCG,,,PT,2020,43.0
2016,A,0,SG_GEN_LOCG,,F,PT,2020,42.7
2017,A,0,SG_GEN_LOCG,,F,PT,2020,41.81
2018,A,0,SG_GEN_LOCG,,F,PT,2020,41.8
2019,A,0,SG_GEN_LOCG,,F,PT,2020,41.8
2020,A,0,SG_GEN_LOCG,,F,PT,2020,43.0
2015,A,0,SG_GEN_LOCGELS,,,PT,2020,47.8
2016,A,0,SG_GEN_LOCGELS,,,PT,2020,47.8
2017,A,0,SG_GEN_LOCGELS,,,PT,2020,47.8
2018,A,0,SG_GEN_LOCGELS,,,PT,2020,47.8
2019,A,0,SG_GEN_LOCGELS,,,PT,2020,47.8
2020,A,0,SG_GEN_LOCGELS,,,PT,2020,47.8
2015,A,0,SG_GEN_LOCGELS,,F,PT,2020,47.8
2016,A,0,SG_GEN_LOCGELS,,F,PT,2020,47.8
2017,A,0,SG_GEN_LOCGELS,,F,PT,2020,47.8
2018,A,0,SG_GEN_LOCGELS,,F,PT,2020,47.8
2019,A,0,SG_GEN_LOCGELS,,F,PT,2020,47.8
2020,A,0,SG_GEN_LOCGELS,,F,PT,2020,47.8
2015,A,0,SG_GEN_PARL,,,PT,2015,42.7
2015,A,0,SG_GEN_PARL,,F,PT,2015,42.7
