Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,Value
2018,_L_SN_050502_1,,,PT,2020,33.33
2019,_L_SN_050502_1,,,PT,2020,33.33
2020,_L_SN_050502_1,,,PT,2020,34.0
2018,_L_SN_050502_1,,F,PT,2020,33.33
2019,_L_SN_050502_1,,F,PT,2020,33.33
2020,_L_SN_050502_1,,F,PT,2020,34.0
2015,_L_SN_050502_2,,,PT,2021,21.0
2018,_L_SN_050502_2,,,PT,2021,25.0
2019,_L_SN_050502_2,,,PT,2021,25.0
2020,_L_SN_050502_2,,,PT,2021,21.21
2021,_L_SN_050502_2,,,PT,2021,21.21
2015,_L_SN_050502_2,,F,PT,2021,21.0
2018,_L_SN_050502_2,,F,PT,2021,25.0
2019,_L_SN_050502_2,,F,PT,2021,25.0
2020,_L_SN_050502_2,,F,PT,2021,21.21
2021,_L_SN_050502_2,,F,PT,2021,21.21
