Year,SERIES,REF_AREA,SEX,AGE,COMPOSITE_BREAKDOWN,UNIT_MEASURE,TIME_DETAIL,Value
2017,_L_SN_0160301_1,,,,,PT,2017,0.384
2017,_L_SN_0160301_1,,F,,,PT,2017,0.369
2017,_L_SN_0160301_1,,M,,,PT,2017,0.4
2015,_L_SN_0160301_2,,,,,NUMBER,2018,414.0
2016,_L_SN_0160301_2,,,,,NUMBER,2018,256.0
2017,_L_SN_0160301_2,,,,,NUMBER,2018,474.0
2018,_L_SN_0160301_2,,,,,NUMBER,2018,465.0
2015,_L_SN_0160301_2,,,,VI_CBV,NUMBER,2018,113.0
2016,_L_SN_0160301_2,,,,VI_CBV,NUMBER,2018,45.0
2017,_L_SN_0160301_2,,,,VI_CBV,NUMBER,2018,57.0
2018,_L_SN_0160301_2,,,,VI_CBV,NUMBER,2018,75.0
2015,_L_SN_0160301_2,,,,VI_CONJ,NUMBER,2018,273.0
2016,_L_SN_0160301_2,,,,VI_CONJ,NUMBER,2018,206.0
2017,_L_SN_0160301_2,,,,VI_CONJ,NUMBER,2018,395.0
2018,_L_SN_0160301_2,,,,VI_CONJ,NUMBER,2018,361.0
2015,_L_SN_0160301_2,,,Y_GE18,VI_SEX,NUMBER,2018,9.0
2016,_L_SN_0160301_2,,,Y_GE18,VI_SEX,NUMBER,2018,2.0
2017,_L_SN_0160301_2,,,Y_GE18,VI_SEX,NUMBER,2018,8.0
2018,_L_SN_0160301_2,,,Y_GE18,VI_SEX,NUMBER,2018,20.0
2015,_L_SN_0160301_2,,,Y0T17,VI_SEX,NUMBER,2018,19.0
2016,_L_SN_0160301_2,,,Y0T17,VI_SEX,NUMBER,2018,3.0
2017,_L_SN_0160301_2,,,Y0T17,VI_SEX,NUMBER,2018,14.0
2018,_L_SN_0160301_2,,,Y0T17,VI_SEX,NUMBER,2018,9.0
