Year,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,NV_IND_MANF,,PT,2021,18.86
2016,NV_IND_MANF,,PT,2021,18.82
2017,NV_IND_MANF,,PT,2021,18.49
2018,NV_IND_MANF,,PT,2021,18.13
2019,NV_IND_MANF,,PT,2021,18.0
2020,NV_IND_MANF,,PT,2021,17.65
2021,NV_IND_MANF,,PT,2021,18.12
2015,NV_IND_MANFPC,,XOF,2021,122.7
2016,NV_IND_MANFPC,,XOF,2021,126.1
2017,NV_IND_MANFPC,,XOF,2021,128.6
2018,NV_IND_MANFPC,,XOF,2021,129.8
2019,NV_IND_MANFPC,,XOF,2021,130.7
2020,NV_IND_MANFPC,,XOF,2021,126.7
2021,NV_IND_MANFPC,,XOF,2021,133.6
